Total companii: 967
ticker | nume_complet | bursa
06N.WA | Magna Polonia SA | Warsaw Stock Exchange
08N.WA | Octava SA | Warsaw Stock Exchange
11B.WA | 11 Bit Studios SA | Warsaw Stock Exchange
1AT.WA | Atal SA | Warsaw Stock Exchange
1GVR001E.BV | Gevorkyan as | Bratislava Stock Exchange
1TMR001E.PR | Tatry Mountain Resorts as | Prague Stock Exchange
3RG.WA | 3R Games SA | Warsaw Stock Exchange
4MSP.WA | 4Mass SA | Warsaw Stock Exchange
AAAA.PR^G13 | AAA Auto Group NV | Prague Stock Exchange
AALP.WA^G18 | AviaAM Leasing Service Centre AB | Warsaw Stock Exchange
AATP.WA | Alta SA | Warsaw Stock Exchange
ABA.WA^C19 | Murapol Real Estate SA | Warsaw Stock Exchange
ABCP.WA^L19 | Vicis New Investments SA | Warsaw Stock Exchange
ABEP.WA | AB SA | Warsaw Stock Exchange
ABMP.WA^G19 | ABM Solid SA w upadlosci likwidacyjnej | Warsaw Stock Exchange
ABSP.WA | Asseco Business Solutions SA | Warsaw Stock Exchange
ACEP.WA^B16 | Automotive Components Europe SA | Warsaw Stock Exchange
ACGP.WA | AC SA | Warsaw Stock Exchange
ACPP.WA | Asseco Poland SA | Warsaw Stock Exchange
ACSP.WA^E17 | Asseco Central Europe as | Warsaw Stock Exchange
ACT.WA | Action SA | Warsaw Stock Exchange
ADANA.IS^E20 | Adana Cimento Sanayii TAS | Istanbul Stock Exchange
ADEL.IS | Adel Kalemcilik Ticaret ve Sanayi AS | Istanbul Stock Exchange
ADESE.IS | Adese Gayrimenkul Yatirim AS | Istanbul Stock Exchange
ADNAC.IS^E20 | Adana Cimento Sanayii TAS | Istanbul Stock Exchange
ADSP.WA^K15 | Advadis SA w upadlosci likwidacyjnej | Warsaw Stock Exchange
ADV.WA | Adiuvo Investments SA W Restrukturyzacji | Warsaw Stock Exchange
AEFES.IS | Anadolu Efes Biracilik ve Malt Sanayii AS | Istanbul Stock Exchange
AFYON.IS | Afyon Cimento Sanayi TAS | Istanbul Stock Exchange
AGESA.IS | Agesa Hayat ve Emeklilik AS | Istanbul Stock Exchange
AGHOL.IS | AG Anadolu Grubu Holding AS | Istanbul Stock Exchange
AGOP.WA | Agora SA | Warsaw Stock Exchange
AGROT.IS | Agrotech Yuksek Teknoloji ve Yatirim AS | Istanbul Stock Exchange
AGTP.WA | Agroton Public Ltd | Warsaw Stock Exchange
AHGAZ.IS | Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS | Istanbul Stock Exchange
AHL.WA^H18 | AAT Holding SA | Warsaw Stock Exchange
AKBNK.IS | Akbank TAS | Istanbul Stock Exchange
AKCNS.IS | Akcansa Cimento Sanayi ve Ticaret AS | Istanbul Stock Exchange
AKENR.IS | Akenerji Elektrik Uretim AS | Istanbul Stock Exchange
AKFEN.IS^E16 | Akfen Holding AS | Istanbul Stock Exchange
AKFGY.IS | Akfen Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
AKFYE.IS | Akfen Yenilenebilir Enerji AS | Istanbul Stock Exchange
AKGRT.IS | AK Sigorta AS | Istanbul Stock Exchange
AKKO.BU | AKKO Invest Nyrt | Budapest Stock Exchange
AKSA.IS | Aksa Akrilik Kimya Sanayii AS | Istanbul Stock Exchange
AKSEN.IS | Aksa Enerji Uretim AS | Istanbul Stock Exchange
AKSGY.IS | Akis Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
ALARK.IS | Alarko Holding Inc | Istanbul Stock Exchange
ALBRK.IS | Albaraka Turk Katilim Bankasi AS | Istanbul Stock Exchange
ALCP.WA^K19 | Alchemia SA | Warsaw Stock Exchange
